id;gruppo_catastale;quotazione_immobiliare_mq
3108040;A;1805.0
3108041;A;1805.0
3108042;A;2738.0
3108043;A;2738.0
3108044;A;2738.0
3108045;A;2738.0
3108046;A;1805.0
3108047;A;1805.0
3108048;A;1805.0
3108049;A;1805.0
3108050;A;1805.0
3108051;C;1338.0
3108052;A;1805.0
3108053;A;1938.0
3108054;C;1092.0
3108055;A;1938.0
3108056;A;967.0
3108057;A;1938.0
3108058;A;1938.0
3108059;A;1938.0
3108060;B;1818.0
3108061;A;1938.0
3108062;A;2056.0
3108063;A;2056.0
3108064;B;1866.0
3108065;A;2056.0
3108066;B;1866.0
3108067;A;1938.0
3108068;A;1805.0
3108069;A;1805.0
3108070;A;1805.0
3108071;C;1338.0
3108072;A;2725.0
3108073;A;2725.0
3108074;C;2435.0
3108075;A;1948.0
3108076;A;1948.0
3108077;C;1530.0
3108078;C;1530.0
3108079;A;2725.0
3108080;A;2725.0
3108081;A;2725.0
3108082;C;1936.0
3108083;C;1936.0
3108084;A;1948.0
3108085;C;1298.0
3108086;A;1948.0
3108087;A;2875.0
3108088;A;1497.0
3108089;A;1800.0
3108090;D;1950.0
3108091;A;1497.0
3108092;A;1717.0
3108093;B;1768.0
3108094;A;1717.0
3108095;A;1242.0
3108096;B;1259.0
3108097;A;1242.0
3108098;A;1497.0
3108099;A;1497.0
3108100;A;1497.0
3108101;A;1497.0
3108102;B;1547.0
3108103;A;1497.0
3108104;A;1497.0
3108105;B;1547.0
3108106;A;2106.0
3108107;A;2106.0
3108108;A;2517.0
3108109;A;2106.0
3108110;A;2517.0
3108111;A;1384.0
3108112;A;1384.0
3108113;A;1384.0
3108114;A;1833.0
3108115;A;1833.0
3108116;B;1801.0
3108117;C;1431.0
3108118;A;1948.0
3108119;A;2725.0
3108120;C;2435.0
3108121;C;2435.0
3108122;A;2725.0
3108123;A;2950.0
3108124;B;2296.0
3108125;A;2950.0
3108126;A;2950.0
3108127;A;2950.0
3108128;A;2950.0
3108129;A;2056.0
3108130;A;1426.0
3108131;A;1426.0
3108132;A;1426.0
3108133;C;788.0
3108134;A;2950.0
3108135;A;2950.0
3108136;A;2950.0
3108137;C;1267.0
3108138;D;1801.0
3108139;A;1870.0
3108140;A;1870.0
3108141;A;1870.0
3108142;C;1267.0
3108143;A;2950.0
3108144;A;1283.0
3108145;A;1447.0
3108146;A;1447.0
3108147;A;1447.0
3108148;A;1447.0
3108149;A;1447.0
3108150;A;2106.0
3108151;A;2106.0
3108152;A;1870.0
3108153;B;1801.0
3108154;A;1870.0
3108155;C;1267.0
3108156;C;1267.0
3108157;A;2950.0
3108158;A;1426.0
3108159;A;1426.0
3108160;C;788.0
3108161;A;2950.0
3108162;A;2950.0
3108163;A;2950.0
3108164;A;1870.0
3108165;A;1870.0
3108166;A;1333.0
3108167;A;1235.0
3108168;A;1235.0
3108169;A;1235.0
3108170;A;1235.0
3108171;A;1235.0
3108172;A;1235.0
3108173;A;1235.0
3108174;A;1235.0
3108175;A;1235.0
3108176;A;1235.0
3108177;A;1235.0
3108178;A;1235.0
3108179;A;1235.0
3108180;A;1235.0
3108181;A;1447.0
3108182;A;1447.0
3108183;A;1447.0
3108184;A;1447.0
3108185;A;1447.0
3108186;A;1447.0
3108187;B;1300.0
3108188;D;321.0
3108189;A;1283.0
3108190;A;1283.0
3108191;A;1283.0
3108192;A;1283.0
3108193;A;1283.0
3108194;A;1283.0
3108195;A;1283.0
3108196;A;1283.0
3108197;A;1283.0
3108198;A;1283.0
3108199;A;1283.0
3108200;A;1283.0
3108201;A;1283.0
3108202;A;1447.0
3108203;A;1447.0
3108204;D;321.0
3108205;A;1447.0
3108206;A;1447.0
3108207;B;1561.0
3108208;A;1447.0
3108209;A;1235.0
3108210;A;1235.0
3108211;A;1447.0
